iso_code,location,date,oecd_mei_index
AUS,Australia,2020-05,97.4139991021805
AUS,Australia,2020-06,97.9951596964896
AUS,Australia,2020-07,98.4887651730858
AUS,Australia,2020-08,99.037693295023
AUS,Australia,2020-09,99.1956872966426
AUS,Australia,2020-10,99.4186414756741
AUS,Australia,2020-11,99.6160469280265
AUS,Australia,2020-12,99.7515741479985
AUS,Australia,2021-01,99.7727796779733
AUT,Austria,2020-05,95.520962457186
AUT,Austria,2020-06,97.1793996443094
AUT,Austria,2020-07,97.7897607335543
AUT,Austria,2020-08,98.1021993385272
AUT,Austria,2020-09,98.5320794957896
AUT,Austria,2020-10,98.524509478136
AUT,Austria,2020-11,98.5405232264115
AUT,Austria,2020-12,98.7216430683541
AUT,Austria,2021-01,98.7474138699034
BEL,Belgium,2020-05,94.6123353277482
BEL,Belgium,2020-06,96.8121042877742
BEL,Belgium,2020-07,98.4264776836635
BEL,Belgium,2020-08,99.4553557809937
BEL,Belgium,2020-09,99.6429209175879
BEL,Belgium,2020-10,99.8030580445363
BEL,Belgium,2020-11,99.9733388144672
BEL,Belgium,2020-12,100.244098186412
BEL,Belgium,2021-01,100.390320060024
CAN,Canada,2020-05,96.8464042554056
CAN,Canada,2020-06,98.1038766598882
CAN,Canada,2020-07,98.6289117289486
CAN,Canada,2020-08,99.1696895322076
CAN,Canada,2020-09,99.4116410439552
CAN,Canada,2020-10,99.6183728951263
CAN,Canada,2020-11,99.9311967216893
CAN,Canada,2020-12,100.229263257461
CAN,Canada,2021-01,100.307789413533
CZE,Czech Republic,2020-05,90.3012652690685
CZE,Czech Republic,2020-06,94.6615474319821
CZE,Czech Republic,2020-07,96.1141906153461
CZE,Czech Republic,2020-08,96.9321367866211
CZE,Czech Republic,2020-09,97.036866026491
CZE,Czech Republic,2020-10,96.4840962763495
CZE,Czech Republic,2020-11,96.5317247650212
CZE,Czech Republic,2020-12,97.0021561314928
CZE,Czech Republic,2021-01,97.3115221432625
DNK,Denmark,2020-05,97.2833192019176
DNK,Denmark,2020-06,99.0412275227008
DNK,Denmark,2020-07,99.4502572741672
DNK,Denmark,2020-08,99.4802753083788
DNK,Denmark,2020-09,99.5415996842309
DNK,Denmark,2020-10,99.6422452908712
DNK,Denmark,2020-11,99.7712783365458
DNK,Denmark,2020-12,99.9199973838102
DNK,Denmark,2021-01,100.060614401243
FIN,Finland,2020-05,97.567973118806
FIN,Finland,2020-06,98.6668100851148
FIN,Finland,2020-07,99.435574441305
FIN,Finland,2020-08,99.5243183400184
FIN,Finland,2020-09,99.6833779482184
FIN,Finland,2020-10,99.9252849951027
FIN,Finland,2020-11,100.224970879194
FIN,Finland,2020-12,100.544274356849
FIN,Finland,2021-01,100.865263225959
FRA,France,2020-05,92.8224202034185
FRA,France,2020-06,97.2903635389146
FRA,France,2020-07,97.397771722663
FRA,France,2020-08,97.5503612502656
FRA,France,2020-09,97.6014863537368
FRA,France,2020-10,97.6551373293711
FRA,France,2020-11,97.5888267404774
FRA,France,2020-12,97.6904981187731
FRA,France,2021-01,97.7871896976128
DEU,Germany,2020-05,93.4233669764113
DEU,Germany,2020-06,98.0188230293784
DEU,Germany,2020-07,99.1775512842472
DEU,Germany,2020-08,99.6411617814926
DEU,Germany,2020-09,99.8146242287332
DEU,Germany,2020-10,99.9543701402906
DEU,Germany,2020-11,100.050841892041
DEU,Germany,2020-12,100.128855488352
DEU,Germany,2021-01,100.161730183385
GRC,Greece,2020-05,96.2758388137091
GRC,Greece,2020-06,96.6602507866717
GRC,Greece,2020-07,97.7684949465822
GRC,Greece,2020-08,97.8330634474665
GRC,Greece,2020-09,97.8541603400728
GRC,Greece,2020-10,97.9012667093708
GRC,Greece,2020-11,97.9545862989848
GRC,Greece,2020-12,98.0681641713401
GRC,Greece,2021-01,98.2911428762548
HUN,Hungary,2020-05,91.7769578008594
HUN,Hungary,2020-06,94.407762524306
HUN,Hungary,2020-07,95.039247696117
HUN,Hungary,2020-08,95.3453758284041
HUN,Hungary,2020-09,95.3659823315101
HUN,Hungary,2020-10,95.4403640760062
HUN,Hungary,2020-11,95.5571781531154
HUN,Hungary,2020-12,95.698995781884
HUN,Hungary,2021-01,95.7867664226866
IRL,Ireland,2020-05,93.9678562644154
IRL,Ireland,2020-06,97.2948826075779
IRL,Ireland,2020-07,99.0393517615344
IRL,Ireland,2020-08,99.3509106708657
IRL,Ireland,2020-09,99.7255678347608
IRL,Ireland,2020-10,100.064067012707
IRL,Ireland,2020-11,100.33626492793
IRL,Ireland,2020-12,100.638423099476
IRL,Ireland,2021-01,100.939044599287
ITA,Italy,2020-05,93.4596955735846
ITA,Italy,2020-06,96.7004441126153
ITA,Italy,2020-07,97.8871295474397
ITA,Italy,2020-08,98.784907073885
ITA,Italy,2020-09,99.1453647523644
ITA,Italy,2020-10,99.4203052843599
ITA,Italy,2020-11,99.452323094354
ITA,Italy,2020-12,99.4982001639247
ITA,Italy,2021-01,99.5554805594682
JPN,Japan,2020-05,97.8678011598446
JPN,Japan,2020-06,97.9916606025245
JPN,Japan,2020-07,98.5415849734566
JPN,Japan,2020-08,99.0563511386608
JPN,Japan,2020-09,99.2623170078099
JPN,Japan,2020-10,99.4352578412873
JPN,Japan,2020-11,99.6134737804722
JPN,Japan,2020-12,99.7841681921438
JPN,Japan,2021-01,99.879791790863
KOR,Korea,2020-05,99.149217243338
KOR,Korea,2020-06,99.332937930888
KOR,Korea,2020-07,99.6136334774374
KOR,Korea,2020-08,99.9613040160015
KOR,Korea,2020-09,100.345676776515
KOR,Korea,2020-10,100.731185183653
KOR,Korea,2020-11,101.103633453987
KOR,Korea,2020-12,101.460608584594
KOR,Korea,2021-01,101.823206896272
NLD,Netherlands,2020-05,95.2315990728603
NLD,Netherlands,2020-06,97.240866930713
NLD,Netherlands,2020-07,98.4783021039818
NLD,Netherlands,2020-08,98.6856176042892
NLD,Netherlands,2020-09,98.7663936107148
NLD,Netherlands,2020-10,98.865478449442
NLD,Netherlands,2020-11,99.1448404547569
NLD,Netherlands,2020-12,99.5018129254568
NLD,Netherlands,2021-01,99.8089168919746
NOR,Norway,2020-05,97.0387941336387
NOR,Norway,2020-06,97.9368745725993
NOR,Norway,2020-07,98.5336805394686
NOR,Norway,2020-08,99.0836661138186
NOR,Norway,2020-09,99.2999041171951
NOR,Norway,2020-10,99.7123486003686
NOR,Norway,2020-11,100.067632164389
NOR,Norway,2020-12,100.330845468188
NOR,Norway,2021-01,100.453076926197
POL,Poland,2020-05,93.7253066984255
POL,Poland,2020-06,94.994337883982
POL,Poland,2020-07,96.8136085286505
POL,Poland,2020-08,98.3534784051264
POL,Poland,2020-09,99.3067838790237
POL,Poland,2020-10,99.3617683396048
POL,Poland,2020-11,99.558186756111
POL,Poland,2020-12,99.7209570397277
POL,Poland,2021-01,99.7283296044236
PRT,Portugal,2020-05,90.0955598532922
PRT,Portugal,2020-06,94.2008833961846
PRT,Portugal,2020-07,95.2307183700387
PRT,Portugal,2020-08,95.9101220164301
PRT,Portugal,2020-09,96.533037856006
PRT,Portugal,2020-10,96.7956326000593
PRT,Portugal,2020-11,96.8097407336098
PRT,Portugal,2020-12,96.9422000827554
PRT,Portugal,2021-01,97.0553843555624
SVK,Slovak Republic,2020-05,90.7238302067893
SVK,Slovak Republic,2020-06,94.1728040376793
SVK,Slovak Republic,2020-07,94.5749663212549
SVK,Slovak Republic,2020-08,95.696515738664
SVK,Slovak Republic,2020-09,95.7047532542938
SVK,Slovak Republic,2020-10,95.7042181257484
SVK,Slovak Republic,2020-11,95.6887756834186
SVK,Slovak Republic,2020-12,95.6816887854398
SVK,Slovak Republic,2021-01,95.658270081537
ESP,Spain,2020-05,92.7962393488619
ESP,Spain,2020-06,95.9330477239256
ESP,Spain,2020-07,95.9237448646824
ESP,Spain,2020-08,95.7550313848673
ESP,Spain,2020-09,95.5813310844154
ESP,Spain,2020-10,95.5248548886199
ESP,Spain,2020-11,95.4744468380686
ESP,Spain,2020-12,95.4878355706866
ESP,Spain,2021-01,95.5284556467372
SWE,Sweden,2020-05,95.5614183480655
SWE,Sweden,2020-06,96.9362043078854
SWE,Sweden,2020-07,97.8776149098057
SWE,Sweden,2020-08,98.3427807193682
SWE,Sweden,2020-09,98.8399074646568
SWE,Sweden,2020-10,99.1443873548156
SWE,Sweden,2020-11,99.3914411754578
SWE,Sweden,2020-12,99.6292898073092
SWE,Sweden,2021-01,99.8648236129347
CHE,Switzerland,2020-05,93.0375197229761
CHE,Switzerland,2020-06,97.3341379284164
CHE,Switzerland,2020-07,99.4520309045538
CHE,Switzerland,2020-08,100.328623922693
CHE,Switzerland,2020-09,100.57389545914
CHE,Switzerland,2020-10,100.718130638456
CHE,Switzerland,2020-11,100.782701705619
CHE,Switzerland,2020-12,100.815944755332
CHE,Switzerland,2021-01,100.807082450752
GBR,United Kingdom,2020-05,88.9394828690668
GBR,United Kingdom,2020-06,94.1891130599548
GBR,United Kingdom,2020-07,98.6076923005607
GBR,United Kingdom,2020-08,99.6987673434188
GBR,United Kingdom,2020-09,99.3593063557453
GBR,United Kingdom,2020-10,99.0640040343535
GBR,United Kingdom,2020-11,98.8318609665106
GBR,United Kingdom,2020-12,98.8812002709221
GBR,United Kingdom,2021-01,98.8393402761602
USA,United States,2020-05,93.8382819802165
USA,United States,2020-06,95.820651662501
USA,United States,2020-07,97.494978597909
USA,United States,2020-08,98.2198899269002
USA,United States,2020-09,98.4469360099258
USA,United States,2020-10,98.7252033731029
USA,United States,2020-11,99.0129844577504
USA,United States,2020-12,99.2973398094456
USA,United States,2021-01,99.5038666434948
CHL,Chile,2020-05,96.5052925590353
CHL,Chile,2020-06,98.2256389053372
CHL,Chile,2020-07,99.8576858278824
CHL,Chile,2020-08,100.920705557951
CHL,Chile,2020-09,101.966821334707
CHL,Chile,2020-10,102.735064721169
CHL,Chile,2020-11,103.101329927793
CHL,Chile,2020-12,103.438422188085
CHL,Chile,2021-01,103.796112985322
EST,Estonia,2020-05,90.4400611693198
EST,Estonia,2020-06,93.789591095651
EST,Estonia,2020-07,96.9624096459665
EST,Estonia,2020-08,98.7684366866673
EST,Estonia,2020-09,99.4672575903186
EST,Estonia,2020-10,100.230370795377
EST,Estonia,2020-11,100.646506604221
EST,Estonia,2020-12,101.140073255611
EST,Estonia,2021-01,101.649454709959
SVN,Slovenia,2020-05,89.0386707427805
SVN,Slovenia,2020-06,89.9729406473558
SVN,Slovenia,2020-07,92.1383712487063
SVN,Slovenia,2020-08,95.2398225169112
SVN,Slovenia,2020-09,97.4407594574761
SVN,Slovenia,2020-10,97.8572756987828
SVN,Slovenia,2020-11,98.388801274919
SVN,Slovenia,2020-12,98.6408231594292
SVN,Slovenia,2021-01,98.7700325273862
ISL,Iceland,2020-05,93.4574202365612
ISL,Iceland,2020-06,93.827215500478
ISL,Iceland,2020-07,95.139148887877
ISL,Iceland,2020-08,95.3824317401416
ISL,Iceland,2020-09,94.6288189063074
ISL,Iceland,2020-10,94.3955841968344
ISL,Iceland,2020-11,94.3833249855427
ISL,Iceland,2020-12,94.3784192990069
ISL,Iceland,2021-01,94.3830308264235
